CIK;LatestCompanyName;NameChanged;NameVariants;AllNames
0000011544;BERKLEY W R CORP;FALSE;1;BERKLEY W R CORP
0000012040;FLANIGANS ENTERPRISES INC;FALSE;1;FLANIGANS ENTERPRISES INC
0000012208;BIO-RAD LABORATORIES, INC.;TRUE;2;BIO RAD LABORATORIES INC | BIO-RAD LABORATORIES, INC.
0000012239;Dominari Holdings Inc.;TRUE;3;AIkido Pharma Inc. | Dominari Holdings Inc. | SPHERIX INC
0000012355;BLACK & DECKER CORP;FALSE;1;BLACK & DECKER CORP
0000012400;BLACK HILLS POWER INC;FALSE;1;BLACK HILLS POWER INC
0000012659;H&R BLOCK INC;FALSE;1;H&R BLOCK INC
0000012779;BLUE RIDGE REAL ESTATE CO;FALSE;1;BLUE RIDGE REAL ESTATE CO
0000012927;BOEING CO;FALSE;1;BOEING CO
0000012978;OFFICEMAX INC;FALSE;1;OFFICEMAX INC
0000013033;Comjoyful International Co;TRUE;2;CAMELOT CORP | Comjoyful International Co
0000013055;LEFT BEHIND GAMES INC.;FALSE;1;LEFT BEHIND GAMES INC.
0000013156;Galaxy Gaming, Inc.;FALSE;1;Galaxy Gaming, Inc.
0000013239;HEXION INC.;TRUE;3;HEXION INC. | HEXION SPECIALTY CHEMICALS, INC. | MOMENTIVE SPECIALTY CHEMICALS INC.
0000013372;NSTAR ELECTRIC CO;FALSE;1;NSTAR ELECTRIC CO
0000013547;ENTRX CORP;FALSE;1;ENTRX CORP
0000013573;BOWL AMERICA INC;FALSE;1;BOWL AMERICA INC
0000013610;BOWNE & CO INC;FALSE;1;BOWNE & CO INC
0000014177;BRIDGFORD FOODS CORP;FALSE;1;BRIDGFORD FOODS CORP
0000014195;BRIGGS & STRATTON CORP;FALSE;1;BRIGGS & STRATTON CORP
0000014272;BRISTOL MYERS SQUIBB CO;FALSE;1;BRISTOL MYERS SQUIBB CO
0000014280;MSGI SECURITY SOLUTIONS, INC;FALSE;1;MSGI SECURITY SOLUTIONS, INC
0000014693;BROWN FORMAN CORP;FALSE;1;BROWN FORMAN CORP
0000014707;CALERES INC;TRUE;2;BROWN SHOE CO INC | CALERES INC
0000014846;BRT Apartments Corp.;TRUE;2;BRT Apartments Corp. | BRT REALTY TRUST
0000014930;BRUNSWICK CORP;FALSE;1;BRUNSWICK CORP
0000015288;BULLION MONARCH MINING, INC.;FALSE;1;BULLION MONARCH MINING, INC.
0000015357;CHASE GENERAL CORP;FALSE;1;CHASE GENERAL CORP
0000015393;BUREAU OF NATIONAL AFFAIRS INC;FALSE;1;BUREAU OF NATIONAL AFFAIRS INC
0000015511;BNSF RAILWAY CO;FALSE;1;BNSF RAILWAY CO
0000015615;MASTEC INC;FALSE;1;MASTEC INC
0000015847;BUTLER NATIONAL CORP;FALSE;1;BUTLER NATIONAL CORP
0000016040;CABOT CORP;FALSE;1;CABOT CORP
0000016058;CACI INTERNATIONAL INC /DE/;FALSE;1;CACI INTERNATIONAL INC /DE/
0000016099;LUB LIQUIDATING TRUST;TRUE;2;LUB LIQUIDATING TRUST | LUBYS INC
0000016104;CAGLES INC;FALSE;1;CAGLES INC
0000016160;CAL-MAINE FOODS INC;TRUE;2;CAL MAINE FOODS INC | CAL-MAINE FOODS INC
0000016614;CAMCO FINANCIAL CORP;FALSE;1;CAMCO FINANCIAL CORP
0000016732;CAMPBELL SOUP CO;FALSE;1;CAMPBELL SOUP CO
0000016873;NEXEN INC;FALSE;1;NEXEN INC
0000016875;CANADIAN PACIFIC RAILWAY LTD/CN;FALSE;1;CANADIAN PACIFIC RAILWAY LTD/CN
0000016918;CONSTELLATION BRANDS, INC.;FALSE;1;CONSTELLATION BRANDS, INC.
0000017313;CAPITAL SOUTHWEST CORP;FALSE;1;CAPITAL SOUTHWEST CORP
0000017485;LIBERATOR MEDICAL HOLDINGS, INC.;FALSE;1;LIBERATOR MEDICAL HOLDINGS, INC.
0000017797;DUKE ENERGY PROGRESS, LLC.;TRUE;3;CAROLINA POWER & LIGHT CO | DUKE ENERGY PROGRESS, INC. | DUKE ENERGY PROGRESS, LLC.
0000017843;CARPENTER TECHNOLOGY CORP;FALSE;1;CARPENTER TECHNOLOGY CORP
0000017927;CARROLS CORP;FALSE;1;CARROLS CORP
0000018061;CASCADE CORP;FALSE;1;CASCADE CORP
0000018169;DOLE FOOD CO INC;FALSE;1;DOLE FOOD CO INC
0000018172;A. M. Castle & Co.;TRUE;2;A. M. Castle & Co. | CASTLE A M & CO
0000018230;CATERPILLAR INC;FALSE;1;CATERPILLAR INC
0000018255;CATO CORP;FALSE;1;CATO CORP
0000018349;SYNOVUS FINANCIAL CORP;FALSE;1;SYNOVUS FINANCIAL CORP
0000018396;CDI CORP;FALSE;1;CDI CORP
0000018498;GENESCO INC;FALSE;1;GENESCO INC
0000018647;CENTRAL HUDSON GAS & ELECTRIC CORP;FALSE;1;CENTRAL HUDSON GAS & ELECTRIC CORP
0000018651;CENTRAL ILLINOIS LIGHT CO;FALSE;1;CENTRAL ILLINOIS LIGHT CO
0000018654;Ameren Illinois Co;TRUE;2;Ameren Illinois Co | CENTRAL ILLINOIS PUBLIC SERVICE CO
0000018672;CLECO POWER LLC;FALSE;1;CLECO POWER LLC
0000018808;CENTRAL VERMONT PUBLIC SERVICE CORP;FALSE;1;CENTRAL VERMONT PUBLIC SERVICE CORP
0000018886;WOLVERINE HOLDING CORP.;FALSE;1;WOLVERINE HOLDING CORP.
0000018926;Lumen Technologies, Inc.;TRUE;3;CENTURYLINK, INC | CENTURYTEL INC | Lumen Technologies, Inc.
0000018937;CERADYNE INC;FALSE;1;CERADYNE INC
0000019002;Cybrdi, Inc.;FALSE;1;Cybrdi, Inc.
0000019149;CHAMPION INDUSTRIES INC;FALSE;1;CHAMPION INDUSTRIES INC
0000019353;CHARMING SHOPPES INC;FALSE;1;CHARMING SHOPPES INC
0000019411;MAGELLAN HEALTH INC;TRUE;2;MAGELLAN HEALTH INC | MAGELLAN HEALTH SERVICES INC
0000019446;CANTEL MEDICAL CORP;FALSE;1;CANTEL MEDICAL CORP
0000019520;CHATTEM INC;FALSE;1;CHATTEM INC
0000019584;CHEMED CORP;FALSE;1;CHEMED CORP
0000019612;TCF FINANCIAL CORP;TRUE;2;CHEMICAL FINANCIAL CORP | TCF FINANCIAL CORP
0000019617;JPMORGAN CHASE & CO;TRUE;2;J P MORGAN CHASE & CO | JPMORGAN CHASE & CO
0000019745;CHESAPEAKE UTILITIES CORP;FALSE;1;CHESAPEAKE UTILITIES CORP
0000019871;CHICAGO RIVET & MACHINE CO;FALSE;1;CHICAGO RIVET & MACHINE CO
0000020171;CHUBB CORP;FALSE;1;CHUBB CORP
0000020212;Churchill Downs Inc;TRUE;3;CHURCHILL DOWNS INC | CHURCHILL DOWNS Inc | Churchill Downs Inc
