Word;Seq_num;Word Count;Word Proportion;Average Proportion;Std Dev;Doc Count;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables;Source
ABERRANT;71;2475;9.687150720252637e-08;4.6672981301438235e-08;1.8813843492765014e-06;1662;2009;0;0;0;0;0;0;0;3;12of12inf
ABERRATION;72;1176;4.6028643422291317e-08;4.4560667301866734e-08;3.578026587083107e-06;826;2009;0;0;0;0;0;0;0;4;12of12inf
ABERRATIONAL;73;106;4.148840308471837e-09;2.940197295823375e-09;5.198510325190936e-07;69;2009;0;0;0;0;0;0;0;5;12of12inf
ABERRATIONS;74;2154;8.430756626838053e-08;7.466529726750908e-08;3.261185516835535e-06;1488;2009;0;0;0;0;0;0;0;4;12of12inf
ABET;75;1674;6.552036487152692e-08;3.9632155217470727e-08;2.0210219921987567e-06;1110;0;0;0;0;0;0;0;0;2;12of12inf
ABETS;76;229;8.96306066641557e-09;6.133003910948952e-09;6.774820074014314e-07;177;0;0;0;0;0;0;0;0;2;12of12inf
ABETTED;77;17798;6.966137717941674e-07;6.157113182191437e-07;1.160550787370332e-05;9472;0;0;0;0;0;0;0;0;3;12of12inf
ABETTER;78;33;1.2916200960336848e-09;2.3761024112094715e-09;6.710605372983769e-07;25;0;0;0;0;0;0;0;0;3;12of12inf
ABETTERS;79;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABETTING;80;25719;1.0066417348451619e-06;8.856219526654774e-07;1.8487459586429898e-05;11913;2009;0;0;0;0;0;0;0;3;12of12inf
ABETTOR;81;183;7.162620532550435e-09;8.012364645762184e-09;1.3110560690017578e-06;130;0;0;0;0;0;0;0;0;3;12of12inf
ABETTORS;82;103;4.031420299741502e-09;4.9307235042180975e-09;9.310411075983756e-07;68;0;0;0;0;0;0;0;0;3;12of12inf
ABEYANCE;83;18959;7.420553151728071e-07;4.5331860728662363e-07;9.792170259920783e-06;7803;0;0;2009;0;0;0;0;0;3;12of12inf
ABEYANCES;84;20;7.828000582022332e-10;7.509607843274134e-10;2.666555755139245e-07;19;0;0;2009;0;0;0;0;0;4;12of12inf
ABHOR;85;12;4.6968003492134e-10;3.3779035414333465e-10;1.3217516015094074e-07;12;0;0;0;0;0;0;0;0;2;12of12inf
ABHORRED;86;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;12of12inf
ABHORRENCE;87;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABHORRENCES;88;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABHORRENT;89;52;2.0352801513258064e-09;1.6310502705067952e-09;4.385972140177068e-07;36;0;0;0;0;0;0;0;0;3;12of12inf
ABHORRENTLY;90;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABHORRING;91;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABHORS;92;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;12of12inf
ABIDANCE;93;127;4.9707803695841815e-09;3.5822255243536148e-09;5.883353278203136e-07;108;0;0;0;0;0;0;0;0;3;12of12inf
ABIDANCES;94;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABIDE;95;88344;3.4577844170909047e-06;2.116158200250737e-06;1.6290175909403578e-05;53402;0;0;0;0;0;0;2009;0;2;12of12inf
ABIDED;96;783;3.0646622278617434e-08;1.8582502913482422e-08;1.2998670528733142e-06;550;0;0;0;0;0;0;0;0;3;12of12inf
ABIDES;97;1271;4.974694369875192e-08;2.790278075647395e-08;1.7298350998129584e-06;986;0;0;0;0;0;0;0;0;2;12of12inf
ABIDING;98;3672;1.4372209068593004e-07;1.1137401785361409e-07;3.7212527437519586e-06;2922;0;0;0;0;0;0;2009;0;3;12of12inf
ABIDINGLY;99;1;3.914000291011166e-11;2.184678113844067e-11;2.4175089690335232e-08;1;0;0;0;0;0;0;0;0;4;12of12inf
ABILITIES;100;106985;4.1873932113382965e-06;3.758751442908742e-06;2.353301942100251e-05;78429;0;0;0;0;0;0;0;0;4;12of12inf
ABILITY;101;15115919;0.0005916371136490122;0.0005809712146083953;0.000500511016857168;1054128;0;0;0;0;0;0;0;0;4;12of12inf
ABJECT;102;28;1.0959200814831266e-09;6.380041013000548e-10;1.7962400965175562e-07;24;0;0;0;0;0;0;0;0;2;12of12inf
ABJECTION;103;7;2.7398002037078165e-10;1.5174993877275998e-10;7.968649015855776e-08;7;0;0;0;0;0;0;0;0;3;12of12inf
ABJECTIONS;104;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABJECTLY;105;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABJECTNESS;106;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABJECTNESSES;107;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABJURATION;108;3;1.17420008730335e-10;2.029888916616554e-10;1.7068176260294272e-07;2;0;0;0;0;0;0;0;0;4;12of12inf
ABJURATIONS;109;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABJURATORY;110;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;5;12of12inf
ABJURE;111;3;1.17420008730335e-10;2.1307366172167402e-11;2.3578186873973877e-08;1;0;0;0;0;0;0;0;0;2;12of12inf
ABJURED;112;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;12of12inf
ABJURER;113;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABJURERS;114;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABJURES;115;1;3.914000291011166e-11;4.409819783660299e-11;4.8797938750171254e-08;1;0;0;0;0;0;0;0;0;2;12of12inf
ABJURING;116;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABLATE;117;2255;8.826070656230181e-08;6.201340718184602e-08;3.3264242591854075e-06;976;0;0;0;0;0;0;0;0;2;12of12inf
ABLATED;118;305;1.1937700887584057e-08;8.13389159843078e-09;7.931733292592467e-07;225;0;0;0;0;0;0;0;0;3;12of12inf
ABLATES;119;269;1.0528660782820038e-08;9.241445405635483e-09;1.1331791345218777e-06;219;0;0;0;0;0;0;0;0;2;12of12inf
ABLATING;120;591;2.3131741719875992e-08;1.7036501351880388e-08;1.266262009109633e-06;378;0;0;0;0;0;0;0;0;3;12of12inf
ABLATION;121;28951;1.1331422242506428e-06;9.020951631247467e-07;3.485561705838169e-05;4137;0;0;0;0;0;0;0;0;3;12of12inf
ABLATIONS;122;740;2.896360215348263e-08;1.8245653841576786e-08;1.6657590738391582e-06;337;0;0;0;0;0;0;0;0;3;12of12inf
ABLATIVE;123;1561;6.10975445426843e-08;3.807346473298914e-08;2.9339293969290138e-06;628;0;0;0;0;0;0;0;0;3;12of12inf
ABLATIVES;124;25;9.785000727527915e-10;6.793294231691176e-10;3.621925441255602e-07;20;0;0;0;0;0;0;0;0;3;12of12inf
ABLAZE;125;66;2.5832401920673697e-09;2.3552883690085277e-09;6.693957837087568e-07;22;0;0;0;0;0;0;0;0;2;12of12inf
ABLE;126;5737316;0.0002245585649362302;0.00021167407659340677;0.00030101519274076824;790226;0;2009;0;0;0;0;0;0;2;12of12inf
ABLER;127;21;8.219400611123449e-10;4.1798660173029333e-10;1.2364833453785646e-07;19;0;0;0;0;0;0;0;0;2;12of12inf
ABLEST;128;280;1.0959200814831266e-08;3.2369456226633e-08;1.0892466844831351e-05;39;0;0;0;0;0;0;0;0;2;12of12inf
ABLOOM;129;3;1.17420008730335e-10;1.9436339762194162e-11;1.702064697361568e-08;2;0;0;0;0;0;0;0;0;2;12of12inf
ABLUTION;130;26;1.0176400756629032e-09;5.24880681211442e-10;1.5197059827149198e-07;23;0;0;0;0;0;0;0;0;3;12of12inf
ABLUTIONS;131;39;1.5264601134943548e-09;2.3188933333263402e-10;1.053617453005798e-07;9;0;0;0;0;0;0;0;0;3;12of12inf
ABLY;132;1382;5.409148402177432e-08;2.5960699506689994e-08;1.8037882708085508e-06;1097;0;0;0;0;0;0;0;0;2;12of12inf
ABNEGATE;133;4;1.5656001164044664e-10;1.2650523284513426e-10;9.902051110916916e-08;2;0;0;0;0;0;0;0;0;3;12of12inf
ABNEGATED;134;1;3.914000291011166e-11;1.5809480519901864e-11;1.7494367115425536e-08;1;0;0;0;0;0;0;0;0;4;12of12inf
ABNEGATES;135;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABNEGATING;136;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABNEGATION;137;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABNEGATIONS;138;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABNORMAL;139;74886;2.931038257926622e-06;2.8571988942163787e-06;2.5494433243279316e-05;39304;2009;0;0;0;0;0;0;0;3;12of12inf
ABNORMALITIES;140;10889;4.261954916882059e-07;2.8866496369040326e-07;6.806092136605457e-06;6094;2009;0;0;0;0;0;0;0;5;12of12inf
ABNORMALITY;141;2467;9.655838717924547e-08;7.852889378022638e-08;3.440472351607398e-06;1656;2009;0;0;0;0;0;0;0;5;12of12inf
ABNORMALLY;142;14578;5.705829624236079e-07;5.606253791835825e-07;1.0280750141823817e-05;10856;2009;0;0;0;0;0;0;0;4;12of12inf
ABOARD;143;7830;3.0646622278617434e-07;2.696522892628094e-07;7.926705249413054e-06;4286;0;0;0;0;0;0;0;0;2;12of12inf
