cik;name;ticker;cikmatch;delisted
0000025793;CROSS A T CO;;False;True
0000025895;CROWN CRAFTS INC;CRWS;False;False
0000026058;CTS CORP;CTS;False;False
0000026076;CUBIC CORP /DE/;;False;True
0000026172;CUMMINS INC;CMI;False;False
0000026324;CURTISS WRIGHT CORP;CW;False;False
0000026780;DANA INC;DAN;False;False
0000026820;PHOENIX FOOTWEAR GROUP INC;;False;True
0000027093;U.S. GOLD CORP.;USAU;False;False
0000027367;DAXOR CORP;DXR;False;False
0000027419;TARGET CORP;TGT;False;False
0000027430;DAYTON POWER & LIGHT CO;;True;False
0000027613;DECORATOR INDUSTRIES INC;;False;True
0000027673;DEERE JOHN CAPITAL CORP;;True;False
0000027748;DGT Holdings Corp.;;True;False
0000027879;DELMARVA POWER & LIGHT CO /DE/;;True;False
0000027904;"DELTA AIR LINES, INC.";DAL;False;False
0000027960;QSGI INC.;;True;False
0000027996;DELUXE CORP;DLX;False;False
0000028146;HYDRON TECHNOLOGIES INC;;True;False
0000028367;"Cogo Group, Inc.";;True;False
0000028385;DTE Electric Co;;True;False
0000028412;COMERICA INC /NEW/;CMA-PB;False;False
0000028561;DEWEY ELECTRONICS CORP;;True;False
0000028823;"DIEBOLD NIXDORF, Inc";DBD;False;True
0000028917;"DILLARD'S, INC.";DDT;False;False
0000029002;DIODES INC /DEL/;DIOD;False;False
0000029006;DIONICS INC;;True;False
0000029071;DISCOVERY OIL LTD;;True;False
0000029332;DIXIE GROUP INC;DXYN;False;False
0000029504;OMEGA COMMERCIAL FINANCE CORP;;True;False
0000029534;DOLLAR GENERAL CORP;DG;False;False
0000029644;DONALDSON Co INC;DCI;False;False
0000029669;RR Donnelley & Sons Co;;False;True
0000029806;CONSTAR INTERNATIONAL INC;;False;True
0000029834;Escalera Resources Co.;;False;True
0000029905;DOVER Corp;DOV;False;False
0000029915;DOW CHEMICAL CO /DE/;;True;False
0000029952;"CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.";;True;False
0000029989;OMNICOM GROUP INC.;OMC;False;False
0000030140;LASERCARD CORP;;False;True
0000030302;ALCO STORES INC;;False;True
0000030305;DUCOMMUN INC /DE/;DCO;False;False
0000030371;"Duke Energy Carolinas, LLC";;True;False
0000030419;DEX ONE Corp;;True;False
0000030554;"EIDP, Inc.";CTA-PA;False;True
0000030625;FLOWSERVE CORP;FLS;False;False
0000030697;Wendy's Co;WEN;False;False
0000030822;DYNAMICS RESEARCH CORP;;False;True
0000030828;COBRA ELECTRONICS CORP;;False;True
0000030831;DYNASIL CORP OF AMERICA;;False;True
0000031107;EASTERN CO;EML;False;False
0000031235;EASTMAN KODAK CO;KODK;False;True
0000031277;EATON CORP;;True;False
0000031347;ECHELON CORP;;False;True
0000031462;ECOLAB INC.;ECL;False;False
0000031667;EDUCATIONAL DEVELOPMENT CORP;EDUC;False;False
0000031704;TWENTY SERVICES INC;;True;False
0000031791;PERKINELMER INC;RVTY;False;False
0000031978;EL PASO ELECTRIC CO /TX/;;False;True
0000031986;EL PASO NATURAL GAS CO;;True;False
0000032166;ELECTRO RENT CORP;;False;True
0000032198;EMS TECHNOLOGIES INC;;False;True
0000032567;EMERGE HEALTH INTERNATIONAL INC;;True;False
0000032604;EMERSON ELECTRIC CO;EMR;False;False
0000032621;EMERSON RADIO CORP;MSN;False;False
0000032689;EMPIRE DISTRICT ELECTRIC CO;;False;True
0000032776;EMPIRE STATE BUILDING ASSOCIATES L.L.C.;;True;False
0000032878;ENERGY CONVERSION DEVICES INC;;False;True
0000033002;"ENNIS, INC.";EBF;False;False
